Titre souhaité,Catégorie,Détails,Image,Image de fond,Téléphone Hôte,Mail Hôte,SMS Hôte,logo,Téléphone,photo 2,photo 3,photo 4,photo 5,photo 6,Partagez la localisation google maps,Site Web / ou wifi
Plage anse laborde,Plages du nord grande terre,"Large plage s'étendant sur 500 m face à la mer des Antilles. Peu fréquentée, bordée de raisiniers bord de mer et de catalpas, idéale pour une journée de détente. Beau plan d'eau, mais la mer peut être houleuse, avec de forts courants. Par temps clair, belle vue sur l'île de Montserrat et Antigua. Sur place se trouve le “Point Bleu Soleil“, point d’information et d’animation écotouristique. Tout près de là, sur la pente du morne, se déroulent lors de la fête patronale des concours de bœufs tirants.",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/P04Bu1K2kplnVjQuGXUS.jpg,,,,,,,,,,,,,
Plage du souffleur ,Plages du nord grande terre,"La plage du Souffleur est une grande plage en Guadeloupe. Elle peut accueillir beaucoup de monde en même temps, ce qui est un plus mais aussi un inconvénient.

Elle est appréciée autant par les Guadeloupéens que les touristes pour ses beaux panoramas, son eau translucide et plutôt calme",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/mF1STURWiPHxyC0KL7ap.jpg,,,,,,,,,,,,,
Destin ,Accueil,"Notre chat Destin sera heureux de pouvoir vous accueillir. 
C est un petit chat qui a 2 ans et qui adore les câlins. 
Pas besoin de prévoir de le nourrir.
Sa gamelle est électrique il a des heures de portion. 😉
Destin dors dehors. 
Généralement il se met sur les chaises de la terrasse. ",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/2Raev9VebZl5ot73R1ov.jpg,,,,,,,,,,,,,
Surf ,Activités nautiques ,"La Guadeloupe est une excellente destination pour affronter les grosses vagues. Entre la mer des Caraïbes à l’Ouest et l’Océan Atlantique à l’Est, cet archipel des Antilles abrite une trentaine de spots de surf populaires à travers le monde. Certains sont réservés aux surfeurs les plus expérimentés. Profitez de votre voyage en Guadeloupe pour essayer le surf.

Je vous conseille d'aller surfer à la plage du Helleux située à 20 minutes de la maison. 

C'est parfait pour les enfants et les débutants. 

Si vous souhaitez prendre des cours de surf je vous conseille Thibault voici son numéro il est situé au helleux.
 Thibault : 06 19 34 34 32",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/qKJZPrS72GfoNrnZqTNw.jpg,,,,,,,,,,,,,
Canoë kayak dans la mangrove ,Activités nautiques ,"
Vous vivrez des moments inoubliables et simples, des bonheurs suspendus au dessus du temps.

Pour certain.es d'entre vous, parmi les meilleures excursions de votre vie.

Vous decouvrirez des expériences hors des sentiers battus avec un.e guide passionné.e, certifié.e et expérimenté.e.

Une approche sensible et intégrative reliant aventure nature, botanique, contemplation, bain de forêt, contes et bien plus encore !

À vous la découverte des canyons, forêts et rivières des mamelles & les mangroves et îlots coralliens du lagon du grand cul de sac marin en kayak.

À vous aussi l’immersion nature et la dégustation de spécialités locales. Avec tout le confort matériel de notre base nautique “oeuvre d'art” (voir les photos)...

Un environnement où vous apprécierez la beauté et la sagesse de la nature. Un lieu de rencontre avec vous-même.

Un lieu de partage avec vos proches.

Je vous conseille yalodé
Appel direct ou message texte/SMS uniquement. (Pas de message vocal ou répondeur).

 + 33 690 56 58 10
 + 590 690 56 58 10 (WhatsApp) 

   yalodekayak@gmail.com
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/8j03MksltRGCtV7ebYc5.jpg,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/zUI2qukO0tb0OEMK1zSY.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/ojcHZA9nLiKk4xWUusv5.jpg,,,,,
Grand Cul-de-Sac ,Activités nautiques ,"Mon top c'est sea trip avec Norman 

- CAP SUR LE GRAND CUL-DE-SAC L'ÎLET CARETL'ÎLET BLANCL'ÉPAVEL'ÎLET LA BICHE
Départ : BAIE-MAHAULT
Journée : 8h00 - 15h30
Demi-journée : 8h - 12h / 12h - 16h
ACTIVITÉS :
En famille
Snorkeling
Paddle
Tapis flottant
Photos
Visite commentée
boat party
IMPORTANT : Le parcours est donné à titre indicatif. Vous êtes libre de modifier l’itinéraire dans la limite du raisonnable
Votre terrain de jeu au coeur du Parc National de la GUADELOUPE
Le Grand-Cul-de-Sac Marin est une baie de 15000 hectares qui réunit les îles de la Basse terre et de la Grande Terre. Il présente la particularité d’offrir deux grands types de milieux : un « terrestre » et un « marin ».

Siège des principaux écosystèmes du littoral et de la mer, nous retrouverons plusieurs endroits emblématiques tels que :

La Mangrove
Ilet Caret
Ilet La Biche et Petite Biche
L’épave
Ilet Blanc (entre le 15 Août et le 15 Avril)
Ilet Christophe
Ilet Macou

Son numéro et son site 
seatripguadeloupe@gmail.com

TELEPHONE
+590 6 90 92 91 80
ADRESSE

Port de plaisance de Baie-Mahault, 97122, Guadeloupe",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/heRHs636GO98bmgVrhgc.jpg,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/wXYFzy14g9DIB5wnwVEE.jpg,,,,,,
C'est nous ,Accueil,"Nous voici je suis Caroline et mon petit garçon timoé âgé de 8 ans . 

Nous sommes heureux de pouvoir vous accueillir chez nous ! 

En espérant que votre séjour se déroulera à merveille. ",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/oarO45qC8pesQLomWIvx.jpg,,,,,,,,,,,,,
Nico pour vos exscursions last minutes ,Activités nautiques ,"Nico vous propose ce qui vous correspondra le mieux, au meilleur rapport qualité / prix : en fonction de vos envies, des différentes formules, de la saison.

https://lastminute971.com/fr_fr/
+590690979798",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/6F1C7q8CrCAtaXtS3QLd.jpg,,,,,,+590690979798,,,,,,,https://lastminute971.com/fr_fr/
Où aller faire ses courses...,"Courses, marchés ","Je vous conseille d'aller faire vos courses à Sainte-Anne au leader Price il se situe à 15 minutes de la maison et c'est un bon rapport qualité-prix.

Il y a aussi quelques super aides dans Sainte-Anne dont frizz et le carrefour market 

Pour vos fruits et légumes je vous conseille d'aller chez José il se situe au marché de Sainte-Anne côté plage. 
Il est super! 

Et pour vos punchs je vous propose d'aller chez Claire, elle est située elle aussi sur la place du marché côté mer.
Elle est fermée le jeudi et le dimanche mais est ouverte tous les jours de 10h à 17h30",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/OFnJE0I4ArAc4azA4WwX.jpg,,,,,,,,,,,,,
Marchés ,"Courses, marchés ","Pour les marchés vous avez le marché de Sainte-Anne qui est ouvert tous les jours à part le jeudi de 8h à 17h. 

Vous avez le marché nocturne de Sainte-Anne jeudi soir de 16h à 19h près du stade municipal. 

Et le marché de Saint-François le mardi soir de 16h à 19h",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/y5geENuEUzvgq0CfMhSR.jpg,,,,,,,,,,,,,
Restauration rapide,Ou se restaurer ?,"Si vous souhaitez vous restaurer de façon rapide je vous propose d'aller sur le boulevard de Sainte-Anne le soir vous avez des camions à bokits ou  agoulous, crêpes ce sont des découvertes locales.  
Je vous propose d'aller chez lelene sur le boulevard de Sainte-Anne. ",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/JS1allkrzXgZh6mEJJBD.jpg,,,,,,,,,,,,,
